Entity,Code,Year,Geothermal Capacity (megawatts)
Austria,AUT,1990,0
Austria,AUT,1995,0
Austria,AUT,2000,0
Austria,AUT,2001,0
Austria,AUT,2002,2
Austria,AUT,2003,2
Austria,AUT,2004,2
Austria,AUT,2005,0.9
Austria,AUT,2006,0.9
Austria,AUT,2007,0.9
Austria,AUT,2008,0.9
Austria,AUT,2009,0.9
Austria,AUT,2010,0.9
Austria,AUT,2011,0.9
Austria,AUT,2012,0.9
Austria,AUT,2013,0.9
Austria,AUT,2014,0.9
Austria,AUT,2015,0.9
Austria,AUT,2016,0.9
Austria,AUT,2017,0.9
Austria,AUT,2018,0.9
Chile,CHL,1990,0
Chile,CHL,1995,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0
Chile,CHL,2013,0
Chile,CHL,2014,0
Chile,CHL,2015,0
Chile,CHL,2016,0
Chile,CHL,2017,24
Chile,CHL,2018,48
China,CHN,1990,29.3
China,CHN,1995,26.3
China,CHN,2000,21.7
China,CHN,2001,21.7
China,CHN,2002,21.7
China,CHN,2003,21.7
China,CHN,2004,21.7
China,CHN,2005,21.7
China,CHN,2006,21.7
China,CHN,2007,21.7
China,CHN,2008,24.8
China,CHN,2009,24.8
China,CHN,2010,24.1
China,CHN,2011,26.2
China,CHN,2012,26.2
China,CHN,2013,26
China,CHN,2014,26
China,CHN,2015,25.8
China,CHN,2016,25.8
China,CHN,2017,25.8
China,CHN,2018,25.8
Costa Rica,CRI,1990,0
Costa Rica,CRI,1995,55
Costa Rica,CRI,2000,145
Costa Rica,CRI,2001,145
Costa Rica,CRI,2002,144.7
Costa Rica,CRI,2003,162.7
Costa Rica,CRI,2004,165.7
Costa Rica,CRI,2005,165.7
Costa Rica,CRI,2006,165.7
