Entity,Code,Year,Upper secondary (%),Primary school (%),Lower secondary (%)
Afghanistan,AFG,2016,37.71361,19.04404,19.7879
Afghanistan,AFG,2017,37.88376,20.65931,19.44311
Albania,ALB,2017,89.48413,,
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Angola,AGO,2016,71.63842,22.35055,65.32618
Anguilla,AIA,2010,100,100,100
Antigua and Barbuda,ATG,2010,100,100,100
Antigua and Barbuda,ATG,2017,100,100,100
Argentina,ARG,2009,99.93735,92.34236,97.81967
Argentina,ARG,2015,97.70505,95.3246,97.36244
Argentina,ARG,2016,97.91077,96.47887,97.15744
Aruba,ABW,2010,100,100,100
"Asia, Central",,2016,,100,99.11089
"Asia, Central",,2017,,99.96491,99.11207
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,99.54074,97.53962,99.69111
Australia and New Zealand,,2001,99.54064,97.53891,99.69103
Australia and New Zealand,,2002,99.54066,97.53986,99.69102
Australia and New Zealand,,2003,99.54059,97.53867,99.69094
Australia and New Zealand,,2004,99.54057,97.53945,99.69094
Australia and New Zealand,,2005,99.54054,97.54024,99.69086
Australia and New Zealand,,2006,99.54046,97.53878,99.69082
Australia and New Zealand,,2007,99.54029,97.53452,99.69073
Australia and New Zealand,,2008,99.54018,97.52419,99.69065
Australia and New Zealand,,2009,99.54024,97.52121,99.69065
Australia and New Zealand,,2010,99.54201,97.51802,99.69137
Australia and New Zealand,,2011,99.54152,97.51286,99.69103
Australia and New Zealand,,2012,99.54098,97.52551,99.69067
Australia and New Zealand,,2013,99.54155,97.48253,99.69043
Australia and New Zealand,,2014,99.54222,97.44355,99.69026
Australia and New Zealand,,2015,99.54296,97.40736,99.69013
Australia and New Zealand,,2016,99.54372,97.37084,99.69001
Australia and New Zealand,,2017,99.70532,97.38087,99.53559
Azerbaijan,AZE,2016,100,100,100
Azerbaijan,AZE,2017,100,100,100
Bahamas,BHS,2009,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bangladesh,BGD,2012,71.27705,55.38404,69.9289
Bangladesh,BGD,2016,94.12973,43.34005,94.07681
Bangladesh,BGD,2017,94.73906,,
Barbados,BRB,2009,100,100,100
Barbados,BRB,2015,100,100,100
Barbados,BRB,2016,100,100,100
Barbados,BRB,2017,100,100,100
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,100,100,100
Belgium,BEL,2003,100,100,100
Belgium,BEL,2004,100,100,100
Belgium,BEL,2005,100,100,100
Belgium,BEL,2006,100,100,100
Belgium,BEL,2007,100,100,100
Belgium,BEL,2008,100,100,100
Belgium,BEL,2009,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2011,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Belize,BLZ,2010,100,84.17508,100
Benin,BEN,2016,87.72846,20.90925,68.47886
Bermuda,BMU,2016,100,100,100
Bhutan,BTN,2012,100,66.57224,88.15789
Bhutan,BTN,2015,100,87.3494,
