Entity,Code,Year,Troops,Military Observers,Civilian police
World,OWID_WRL,1947,0,0,0
World,OWID_WRL,1948,0,0,0
World,OWID_WRL,1949,0,0,0
World,OWID_WRL,1950,0,0,0
World,OWID_WRL,1951,0,0,0
World,OWID_WRL,1952,0,0,0
World,OWID_WRL,1953,0,0,0
World,OWID_WRL,1954,0,0,0
World,OWID_WRL,1955,0,0,0
World,OWID_WRL,1956,0,0,0
World,OWID_WRL,1957,0,0,0
World,OWID_WRL,1958,0,0,0
World,OWID_WRL,1959,0,0,0
World,OWID_WRL,1960,0,0,0
World,OWID_WRL,1961,0,0,0
World,OWID_WRL,1962,0,0,0
World,OWID_WRL,1963,0,0,0
World,OWID_WRL,1964,0,0,0
World,OWID_WRL,1965,0,0,0
World,OWID_WRL,1966,0,0,0
World,OWID_WRL,1967,0,0,0
World,OWID_WRL,1968,0,0,0
World,OWID_WRL,1969,0,0,0
World,OWID_WRL,1970,0,0,0
World,OWID_WRL,1971,0,0,0
World,OWID_WRL,1972,0,0,0
World,OWID_WRL,1973,0,0,0
World,OWID_WRL,1974,0,0,0
World,OWID_WRL,1975,0,0,0
World,OWID_WRL,1976,0,0,0
World,OWID_WRL,1977,0,0,0
World,OWID_WRL,1978,0,0,0
World,OWID_WRL,1979,0,0,0
World,OWID_WRL,1980,0,0,0
World,OWID_WRL,1981,0,0,0
World,OWID_WRL,1982,0,0,0
World,OWID_WRL,1983,0,0,0
World,OWID_WRL,1984,0,0,0
World,OWID_WRL,1985,0,0,0
World,OWID_WRL,1986,0,0,0
World,OWID_WRL,1987,0,0,0
World,OWID_WRL,1988,0,0,0
World,OWID_WRL,1989,0,0,0
World,OWID_WRL,1990,0,0,0
World,OWID_WRL,1991,0,0,0
World,OWID_WRL,1992,45675,2066,4413
World,OWID_WRL,1993,66679,2250,1032
World,OWID_WRL,1994,65111,2263,1982
World,OWID_WRL,1995,27939,2004,1088
World,OWID_WRL,1996,20833,1347,2739
World,OWID_WRL,1997,10672,1075,3132
World,OWID_WRL,1998,10708,921,2718
World,OWID_WRL,1999,12768,1257,4435
World,OWID_WRL,2000,28538,1470,7725
World,OWID_WRL,2001,37665,1801,7642
World,OWID_WRL,2002,32520,1799,5333
World,OWID_WRL,2003,39329,1851,4635
World,OWID_WRL,2004,55909,2046,6765
World,OWID_WRL,2005,60070,2527,7241
World,OWID_WRL,2006,69146,2527,8695
World,OWID_WRL,2007,70508,2724,11077
World,OWID_WRL,2008,77571,2630,11511
World,OWID_WRL,2009,83089,2314,12794
World,OWID_WRL,2010,82014,2302,14311
World,OWID_WRL,2011,82729,1984,14303
World,OWID_WRL,2012,79750,1971,12369
World,OWID_WRL,2013,83279,1864,13057
World,OWID_WRL,2014,89846,1774,12442
