Entity,Code,Year,Literacy rate (%)
Afghanistan,AFG,2000,28.1
Albania,ALB,2011,96.8
Algeria,DZA,2006,72.6
American Samoa,ASM,1980,97
Andorra,AND,2011,100
Angola,AGO,2011,70.4
Anguilla,AIA,1984,95
Antigua and Barbuda,ATG,2011,99
Argentina,ARG,2011,97.9
Armenia,ARM,2011,99.6
Aruba,ABW,2010,96.8
Australia,AUS,2003,99
Austria,AUT,2011,98
Azerbaijan,AZE,2010,99.8
Bahamas,BHS,2003,95.6
Bahrain,BHR,2010,94.6
Bangladesh,BGD,2011,57.7
Barbados,BRB,2002,99.7
Belarus,BLR,2009,99.6
Belgium,BEL,2003,99
Belize,BLZ,2000,76.9
Benin,BEN,2010,42.4
Bermuda,BMU,2005,98
Bhutan,BTN,2005,52.8
Bolivia,BOL,2009,91.2
Bosnia and Herzegovina,BIH,2011,98
Botswana,BWA,2011,85.1
Brazil,BRA,2010,90.4
British Virgin Islands,VGB,1991,97.8
Brunei,BRN,2011,95.4
Bulgaria,BGR,2011,98.4
Burkina Faso,BFA,2007,28.7
Burundi,BDI,2010,67.2
Cambodia,KHM,2009,73.9
Cameroon,CMR,2010,71.3
Canada,CAN,2003,99
Cape Verde,CPV,2011,84.9
Cayman Islands,CYM,2007,98.9
Central African Republic,CAF,2011,56.6
Chad,TCD,2011,35.4
Chile,CHL,2009,98.6
China,CHN,2010,95.1
Colombia,COL,2011,93.6
Comoros,COM,2011,75.5
Congo,COG,2003,83.8
Cook Islands,COK,2011,95
Costa Rica,CRI,2011,96.3
Cote d'Ivoire,CIV,2011,56.9
Croatia,HRV,2011,98.9
Cuba,CUB,2011,99.8
Cyprus,CYP,2011,98.7
Czech Republic,CZE,2011,99
Democratic Republic of Congo,COD,2010,66.8
Denmark,DNK,2003,99
Djibouti,DJI,2003,67.9
Dominica,DMA,2003,94
Dominican Republic,DOM,2011,90.1
Ecuador,ECU,2011,91.6
Egypt,EGY,2012,73.9
El Salvador,SLV,2010,84.5
Equatorial Guinea,GNQ,2011,94.2
Eritrea,ERI,2011,68.9
Estonia,EST,2011,99.8
Ethiopia,ETH,2007,39
Fiji,FJI,2003,93.7
Finland,FIN,2000,100
France,FRA,2003,99
French Polynesia,PYF,1977,98
Gabon,GAB,2011,89
Gambia,GMB,2011,51.1
Georgia,GEO,2011,99.7
Germany,DEU,2003,99
Ghana,GHA,2010,71.5
Gibraltar,GIB,2011,80
Greece,GRC,2011,97.3
Greenland,GRL,2001,100
Grenada,GRD,2003,96
Guam,GUM,1990,99
Guatemala,GTM,2011,75.9
Guinea,GIN,2010,41
Guinea-Bissau,GNB,2011,55.3
Guyana,GUY,2002,91.8
