Entity,Code,Year,"Percentage of teachers in secondary education who are qualified, both sexes (%) (%)"
Albania,ALB,2013,93.15325
Albania,ALB,2014,94.22664
Andorra,AND,2013,100
Andorra,AND,2014,100
Antigua and Barbuda,ATG,2014,52.81899
Bahrain,BHR,2013,97.06544
Bahrain,BHR,2014,97.42832
Bangladesh,BGD,2013,98.19386
Belarus,BLR,2014,98.24376
Belize,BLZ,2013,39.79206
Belize,BLZ,2014,49.78602
Benin,BEN,2014,59.07628
Bermuda,BMU,2014,100
Botswana,BWA,2013,96.50523
Brunei,BRN,2014,86.52734
Burkina Faso,BFA,2013,59.86942
Burkina Faso,BFA,2014,46.911
Burundi,BDI,2013,68.1566
Burundi,BDI,2014,72.35373
Cameroon,CMR,2013,45.64245
Cameroon,CMR,2014,53.64426
Cape Verde,CPV,2014,70.65451
Colombia,COL,2013,96.89606
Colombia,COL,2014,98.17571
Cote d'Ivoire,CIV,2014,100
Cuba,CUB,2014,78.86378
Democratic Republic of Congo,COD,2014,100
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Dominica,DMA,2014,46.31783
Dominican Republic,DOM,2013,76.25657
Dominican Republic,DOM,2014,75.07689
Egypt,EGY,2014,85.1528
Eritrea,ERI,2013,83.21157
Gambia,GMB,2014,91.64878
Ghana,GHA,2014,69.85355
Ghana,GHA,2015,73.25243
Grenada,GRD,2013,40.61196
Grenada,GRD,2014,32.73196
Iran,IRN,2013,95.2693
Iran,IRN,2014,95.22988
Jamaica,JAM,2014,83.8232
Kazakhstan,KAZ,2015,100
Laos,LAO,2013,76.34388
Laos,LAO,2014,79.2234
Macao,MAC,2013,100
Macao,MAC,2014,100
Madagascar,MDG,2014,90.89474
Malaysia,MYS,2013,100
Malaysia,MYS,2014,99.89675
Mongolia,MNG,2014,98.09642
Mozambique,MOZ,2013,76.38278
Nauru,NRU,2014,88.88889
Nepal,NPL,2014,78.05023
Niger,NER,2013,100
Niger,NER,2014,100
Palestine,PSE,2013,25.26994
Palestine,PSE,2014,27.68294
Panama,PAN,2013,100
Peru,PER,2013,86.07114
Peru,PER,2014,85.13373
Philippines,PHL,2013,100
Puerto Rico,PRI,2013,100
Qatar,QAT,2013,100
Qatar,QAT,2014,100
Saint Kitts and Nevis,KNA,2013,65.54404
Saint Kitts and Nevis,KNA,2014,100
Saint Vincent and the Grenadines,VCT,2013,24.50425
Saint Vincent and the Grenadines,VCT,2014,37.01493
Sao Tome and Principe,STP,2014,11.60151
Sao Tome and Principe,STP,2015,25.79737
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Serbia,SRB,2013,100
Serbia,SRB,2014,100
Seychelles,SYC,2014,92
Sierra Leone,SLE,2013,57.27867
Sint Maarten (Dutch part),SXM,2012,98.01587
Sint Maarten (Dutch part),SXM,2014,93.29609
Swaziland,SWZ,2013,75.57761
Tonga,TON,2013,96.50538
Tonga,TON,2014,84.80243
Turks and Caicos Islands,TCA,2015,97.61905
Ukraine,UKR,2013,75.67969
Ukraine,UKR,2014,98.19424
United Arab Emirates,ARE,2013,100
United Arab Emirates,ARE,2014,100
Zimbabwe,ZWE,2013,49.22391
