Entity,Code,Year,Year,Lower secondary (%),Primary school (%),Upper secondary (%)
Albania,ALB,2017,,,83.13492
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Angola,AGO,2016,25.33512,7.01911,48.81356
Anguilla,AIA,2010,100,,100
Antigua and Barbuda,ATG,2017,90.90909,,90.90909
Argentina,ARG,2009,53.99349,37.78339,77.04548
Argentina,ARG,2015,72.25478,58.65497,75.20627
Argentina,ARG,2016,70.44686,61.82755,73.74983
Aruba,ABW,2010,100,100,100
"Asia, Central",,2016,94.59164,95.24761,
"Asia, Central",,2017,94.53937,95.16315,
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,96.48929,92.90838,98.82953
Australia and New Zealand,,2001,96.48837,92.90633,98.82927
Australia and New Zealand,,2002,96.48831,92.90908,98.82933
Australia and New Zealand,,2003,96.48739,92.90564,98.82916
Australia and New Zealand,,2004,96.48741,92.9079,98.8291
Australia and New Zealand,,2005,96.48651,92.91016,98.82903
Australia and New Zealand,,2006,96.48605,92.90597,98.82881
Australia and New Zealand,,2007,96.48503,92.89366,98.82839
Australia and New Zealand,,2008,96.4841,92.8639,98.82811
Australia and New Zealand,,2009,96.48404,92.85532,98.82826
Australia and New Zealand,,2010,96.4923,92.84613,98.83277
Australia and New Zealand,,2011,96.48846,92.83124,98.83151
Australia and New Zealand,,2012,96.48431,92.86769,98.83015
Australia and New Zealand,,2013,96.48158,92.74383,98.8316
Australia and New Zealand,,2014,96.47963,92.63146,98.83331
Australia and New Zealand,,2015,96.47819,92.52716,98.83518
Australia and New Zealand,,2016,96.4768,92.42189,98.83713
Australia and New Zealand,,2017,96.46703,92.41778,98.83944
Azerbaijan,AZE,2016,97.76916,94.28507,98.73303
Azerbaijan,AZE,2017,97.33139,93.93531,98.28158
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bangladesh,BGD,2016,81.20444,17.90941,81.34418
Bangladesh,BGD,2017,,,81.89055
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Bermuda,BMU,2016,100,100,100
Bhutan,BTN,2015,,14.45783,86.2069
Botswana,BWA,2012,100,,100
Brazil,BRA,2010,72.04891,40.486,90.43665
British Virgin Islands,VGB,2010,100,100,100
British Virgin Islands,VGB,2016,100,77.77778,100
British Virgin Islands,VGB,2017,100,88.88889,100
Burkina Faso,BFA,2016,0,0,0
Burundi,BDI,2016,0,0,17.12329
Burundi,BDI,2017,0,0,17.12329
Cameroon,CMR,2016,72.187,,84.16124
Cape Verde,CPV,2016,100,,100
Cape Verde,CPV,2017,100,40.7767,100
Caucasus and Central Asia,,2016,95.34756,95.43328,96.00882
Caucasus and Central Asia,,2017,95.24959,95.30199,95.28936
Cayman Islands,CYM,2010,,76.92308,
Cayman Islands,CYM,2018,100,100,100
Central and Southern Asia,,2015,42.79677,16.93568,71.07179
Central and Southern Asia,,2016,43.21578,17.43129,70.81947
Central and Southern Asia,,2017,43.50553,17.45146,70.78512
China,CHN,2016,98.28642,89.41346,94.95821
China,CHN,2017,98.7912,94.23699,94.71906
Colombia,COL,2016,93.5857,90.052,94.0365
Colombia,COL,2017,96.26837,93.35875,96.71178
