Entity,Code,Year, (% of reported total deaths to estimated total deaths)
Albania,ALB,2006,91.7339255728292
Albania,ALB,2007,77.6068376068376
Albania,ALB,2008,84.8738170347003
Algeria,DZA,2007,89.7741787771431
Algeria,DZA,2008,91.0427067651277
Algeria,DZA,2010,91.085248830976
Argentina,ARG,2006,96.8606997650661
Argentina,ARG,2007,100
Argentina,ARG,2009,98.5390240745535
Armenia,ARM,2007,100
Armenia,ARM,2008,100
Armenia,ARM,2010,100
Aruba,ABW,2007,68.6429512516
Australia,AUS,2007,94.3238801864769
Australia,AUS,2008,100
Australia,AUS,2009,96.2665590655113
Austria,AUT,2007,98.5799207397622
Austria,AUT,2008,98.8636662892055
Austria,AUT,2009,100
Austria,AUT,2010,100
Azerbaijan,AZE,2007,84.2903149791847
Azerbaijan,AZE,2008,81.0810810810811
Azerbaijan,AZE,2010,78.8172992056487
Bahamas,BHS,2007,89.6758104738
Bahamas,BHS,2008,92.3191278494
Bahrain,BHR,2006,85.6513026052104
Bahrain,BHR,2008,84.2736248236953
Bahrain,BHR,2009,79.0659158661809
Barbados,BRB,2007,100
Belarus,BLR,2006,97.8891316799966
Belarus,BLR,2008,95.8325280420326
Belarus,BLR,2009,97.3875620850484
Belarus,BLR,2010,99.7059186592795
Belgium,BEL,2007,97.71862379621
Belgium,BEL,2010,98.517987781884
Belize,BLZ,2005,100
Bolivia,BOL,2007,30.6434192254282
Bosnia and Herzegovina,BIH,2006,96.1116736583249
Bosnia and Herzegovina,BIH,2008,94.4327264653641
Bosnia and Herzegovina,BIH,2009,94.7620864446504
Bosnia and Herzegovina,BIH,2010,92.8200042881647
Botswana,BWA,2007,43.4518204645323
Brazil,BRA,2006,85.1888596014485
Brazil,BRA,2008,86.6657512682763
Brazil,BRA,2009,87.5075508981211
Brunei,BRN,2007,100
Brunei,BRN,2008,97.8475336323
Bulgaria,BGR,2007,98.8445221954953
Bulgaria,BGR,2008,96.6972300477699
Bulgaria,BGR,2010,96.903725205612
Burkina Faso,BFA,2008,90.0390443911032
Cambodia,KHM,2004,100
Canada,CAN,2006,97.9903611220729
Canada,CAN,2008,97.9165989402165
Caribbean small states,,2009,88.2400410172644
Chad,TCD,2001,91.9247419247
Channel Islands,OWID_CIS,2007,36.203246295
Chile,CHL,2006,100
Chile,CHL,2007,100
Chile,CHL,2008,100
China,CHN,2007,95.558887615003
China,CHN,2009,96.8856055319523
Colombia,COL,2006,79.089404870567
